Rishon,Ree-Shone
Lezion,leh-tzee-own
Ramat,Rah-Maht
Dalton,Dal-Tone
Metulla,maah-tulah
Metula,maah-tulah
Macron,Mah-cron
Shahar, Sha-har
Beit,Bait
Be'er,Bear
Sheva,Shevah
Ein,Aeyn
Gedi,Gehdi
HaArava,ha-aarah-vah
Yoav,Yo ahv
Gallant,Gahlaunt
Netiv,nehteev
HaAsara,ha-ahssahr-ah
Itamar,Ihtamar
Ben-Gvir,Ben Gveer
Duvdevan,duev-de-vahn
Irit,eareet
Ra'im,Raheem
al-Din,ahl deen
grenade,granade
Amit,Ameet
UNRWA,uhnrah
Ariel,Ari-el
Zayit,Zaieet
Kisufim,key-sue-feem
Nir Am,Nir Uhm
Haredi,haraydee
Bnei,Binay
Bezalel,Betzalel
Smotrich,Smeudtridch
Be'eri,beh-ehri
Negev,Nehgev
Yifat,E-faht
Almog,Ahl-moeg
Givati,Ghe-vah-tea
Sha'ar,Shaar
Doron,Door-own
Mizrachi,Mizrahi
Sderot,Sder-oat
Rosh,Roash
Hanikra,Ha-nick-rah
